Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,151015,-,-,-,38.57,-121.5,-8,10,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI
1999,1,1,0,30,0
1999,1,1,1,30,0
1999,1,1,2,30,0
1999,1,1,3,30,0
1999,1,1,4,30,0
1999,1,1,5,30,0
1999,1,1,6,30,0
1999,1,1,7,30,0
1999,1,1,8,30,68
1999,1,1,9,30,162
1999,1,1,10,30,260
1999,1,1,11,30,233
1999,1,1,12,30,369
1999,1,1,13,30,453
1999,1,1,14,30,349
1999,1,1,15,30,203
1999,1,1,16,30,47
1999,1,1,17,30,0
1999,1,1,18,30,0
1999,1,1,19,30,0
1999,1,1,20,30,0
1999,1,1,21,30,0
1999,1,1,22,30,0
1999,1,1,23,30,0
1999,1,2,0,30,0
1999,1,2,1,30,0
1999,1,2,2,30,0
1999,1,2,3,30,0
1999,1,2,4,30,0
1999,1,2,5,30,0
1999,1,2,6,30,0
1999,1,2,7,30,0
1999,1,2,8,30,66
1999,1,2,9,30,182
1999,1,2,10,30,318
1999,1,2,11,30,353
1999,1,2,12,30,353
1999,1,2,13,30,448
1999,1,2,14,30,345
1999,1,2,15,30,201
1999,1,2,16,30,25
1999,1,2,17,30,0
1999,1,2,18,30,0
1999,1,2,19,30,0
1999,1,2,20,30,0
1999,1,2,21,30,0
1999,1,2,22,30,0
1999,1,2,23,30,0
1999,1,3,0,30,0
1999,1,3,1,30,0
1999,1,3,2,30,0
1999,1,3,3,30,0
1999,1,3,4,30,0
1999,1,3,5,30,0
1999,1,3,6,30,0
1999,1,3,7,30,0
1999,1,3,8,30,41
1999,1,3,9,30,33
1999,1,3,10,30,85
1999,1,3,11,30,96
1999,1,3,12,30,102
1999,1,3,13,30,90
1999,1,3,14,30,81
1999,1,3,15,30,74
1999,1,3,16,30,24
1999,1,3,17,30,0
1999,1,3,18,30,0
1999,1,3,19,30,0
1999,1,3,20,30,0
1999,1,3,21,30,0
1999,1,3,22,30,0
1999,1,3,23,30,0
1999,1,4,0,30,0
1999,1,4,1,30,0
1999,1,4,2,30,0
1999,1,4,3,30,0
1999,1,4,4,30,0
1999,1,4,5,30,0
1999,1,4,6,30,0
1999,1,4,7,30,0
1999,1,4,8,30,15
1999,1,4,9,30,59
1999,1,4,10,30,129
1999,1,4,11,30,105
1999,1,4,12,30,139
1999,1,4,13,30,141
1999,1,4,14,30,278
1999,1,4,15,30,165
1999,1,4,16,30,33
1999,1,4,17,30,0
1999,1,4,18,30,0
1999,1,4,19,30,0
1999,1,4,20,30,0
1999,1,4,21,30,0
1999,1,4,22,30,0
1999,1,4,23,30,0
1999,1,5,0,30,0
1999,1,5,1,30,0
1999,1,5,2,30,0
1999,1,5,3,30,0
1999,1,5,4,30,0
1999,1,5,5,30,0
1999,1,5,6,30,0
1999,1,5,7,30,0
1999,1,5,8,30,14
1999,1,5,9,30,34
1999,1,5,10,30,74
1999,1,5,11,30,68
1999,1,5,12,30,71
1999,1,5,13,30,315
1999,1,5,14,30,155
1999,1,5,15,30,4
1999,1,5,16,30,28
1999,1,5,17,30,0
1999,1,5,18,30,0
1999,1,5,19,30,0
1999,1,5,20,30,0
1999,1,5,21,30,0
1999,1,5,22,30,0
1999,1,5,23,30,0
1999,1,6,0,30,0
1999,1,6,1,30,0
1999,1,6,2,30,0
1999,1,6,3,30,0
1999,1,6,4,30,0
1999,1,6,5,30,0
1999,1,6,6,30,0
1999,1,6,7,30,0
1999,1,6,8,30,47
1999,1,6,9,30,14
1999,1,6,10,30,86
1999,1,6,11,30,202
1999,1,6,12,30,245
1999,1,6,13,30,123
1999,1,6,14,30,250
1999,1,6,15,30,148
1999,1,6,16,30,32
1999,1,6,17,30,0
1999,1,6,18,30,0
1999,1,6,19,30,0
1999,1,6,20,30,0
1999,1,6,21,30,0
1999,1,6,22,30,0
1999,1,6,23,30,0
1999,1,7,0,30,0
1999,1,7,1,30,0
1999,1,7,2,30,0
1999,1,7,3,30,0
1999,1,7,4,30,0
1999,1,7,5,30,0
1999,1,7,6,30,0
1999,1,7,7,30,0
1999,1,7,8,30,5
1999,1,7,9,30,27
1999,1,7,10,30,39
1999,1,7,11,30,31
1999,1,7,12,30,60
1999,1,7,13,30,51
1999,1,7,14,30,51
1999,1,7,15,30,31
1999,1,7,16,30,22
1999,1,7,17,30,0
1999,1,7,18,30,0
1999,1,7,19,30,0
1999,1,7,20,30,0
1999,1,7,21,30,0
1999,1,7,22,30,0
1999,1,7,23,30,0
1999,1,8,0,30,0
1999,1,8,1,30,0
1999,1,8,2,30,0
1999,1,8,3,30,0
1999,1,8,4,30,0
1999,1,8,5,30,0
1999,1,8,6,30,0
1999,1,8,7,30,0
1999,1,8,8,30,57
1999,1,8,9,30,190
1999,1,8,10,30,362
1999,1,8,11,30,505
1999,1,8,12,30,519
1999,1,8,13,30,471
1999,1,8,14,30,366
1999,1,8,15,30,221
1999,1,8,16,30,61
1999,1,8,17,30,0
1999,1,8,18,30,0
1999,1,8,19,30,0
1999,1,8,20,30,0
1999,1,8,21,30,0
1999,1,8,22,30,0
1999,1,8,23,30,0
1999,1,9,0,30,0
1999,1,9,1,30,0
1999,1,9,2,30,0
1999,1,9,3,30,0
1999,1,9,4,30,0
1999,1,9,5,30,0
1999,1,9,6,30,0
1999,1,9,7,30,0
1999,1,9,8,30,11
1999,1,9,9,30,23
1999,1,9,10,30,61
1999,1,9,11,30,79
1999,1,9,12,30,76
1999,1,9,13,30,125
1999,1,9,14,30,96
1999,1,9,15,30,139
1999,1,9,16,30,22
1999,1,9,17,30,0
1999,1,9,18,30,0
1999,1,9,19,30,0
1999,1,9,20,30,0
1999,1,9,21,30,0
1999,1,9,22,30,0
1999,1,9,23,30,0
1999,1,10,0,30,0
1999,1,10,1,30,0
1999,1,10,2,30,0
1999,1,10,3,30,0
1999,1,10,4,30,0
1999,1,10,5,30,0
1999,1,10,6,30,0
1999,1,10,7,30,0
1999,1,10,8,30,8
1999,1,10,9,30,30
1999,1,10,10,30,56
1999,1,10,11,30,96
1999,1,10,12,30,92
1999,1,10,13,30,91
1999,1,10,14,30,107
1999,1,10,15,30,82
1999,1,10,16,30,32
1999,1,10,17,30,0
1999,1,10,18,30,0
1999,1,10,19,30,0
1999,1,10,20,30,0
1999,1,10,21,30,0
1999,1,10,22,30,0
1999,1,10,23,30,0
1999,1,11,0,30,0
1999,1,11,1,30,0
1999,1,11,2,30,0
1999,1,11,3,30,0
1999,1,11,4,30,0
1999,1,11,5,30,0
1999,1,11,6,30,0
1999,1,11,7,30,0
1999,1,11,8,30,65
1999,1,11,9,30,90
1999,1,11,10,30,287
1999,1,11,11,30,298
1999,1,11,12,30,329
1999,1,11,13,30,290
1999,1,11,14,30,287
1999,1,11,15,30,165
1999,1,11,16,30,41
1999,1,11,17,30,0
1999,1,11,18,30,0
1999,1,11,19,30,0
1999,1,11,20,30,0
1999,1,11,21,30,0
1999,1,11,22,30,0
1999,1,11,23,30,0
1999,1,12,0,30,0
1999,1,12,1,30,0
1999,1,12,2,30,0
1999,1,12,3,30,0
1999,1,12,4,30,0
1999,1,12,5,30,0
1999,1,12,6,30,0
1999,1,12,7,30,0
1999,1,12,8,30,34
1999,1,12,9,30,67
1999,1,12,10,30,137
1999,1,12,11,30,319
1999,1,12,12,30,512
1999,1,12,13,30,467
1999,1,12,14,30,368
1999,1,12,15,30,225
1999,1,12,16,30,67
1999,1,12,17,30,0
1999,1,12,18,30,0
1999,1,12,19,30,0
1999,1,12,20,30,0
1999,1,12,21,30,0
1999,1,12,22,30,0
1999,1,12,23,30,0
1999,1,13,0,30,0
1999,1,13,1,30,0
1999,1,13,2,30,0
1999,1,13,3,30,0
1999,1,13,4,30,0
1999,1,13,5,30,0
1999,1,13,6,30,0
1999,1,13,7,30,0
1999,1,13,8,30,16
1999,1,13,9,30,198
1999,1,13,10,30,430
1999,1,13,11,30,507
1999,1,13,12,30,523
1999,1,13,13,30,478
1999,1,13,14,30,377
1999,1,13,15,30,233
1999,1,13,16,30,47
1999,1,13,17,30,0
1999,1,13,18,30,0
1999,1,13,19,30,0
1999,1,13,20,30,0
1999,1,13,21,30,0
1999,1,13,22,30,0
1999,1,13,23,30,0
1999,1,14,0,30,0
1999,1,14,1,30,0
1999,1,14,2,30,0
1999,1,14,3,30,0
1999,1,14,4,30,0
1999,1,14,5,30,0
1999,1,14,6,30,0
1999,1,14,7,30,0
1999,1,14,8,30,24
1999,1,14,9,30,216
1999,1,14,10,30,339
1999,1,14,11,30,312
1999,1,14,12,30,230
1999,1,14,13,30,191
1999,1,14,14,30,94
1999,1,14,15,30,84
1999,1,14,16,30,27
1999,1,14,17,30,0
1999,1,14,18,30,0
1999,1,14,19,30,0
1999,1,14,20,30,0
1999,1,14,21,30,0
1999,1,14,22,30,0
1999,1,14,23,30,0
1999,1,15,0,30,0
1999,1,15,1,30,0
1999,1,15,2,30,0
1999,1,15,3,30,0
1999,1,15,4,30,0
1999,1,15,5,30,0
1999,1,15,6,30,0
1999,1,15,7,30,0
1999,1,15,8,30,16
1999,1,15,9,30,72
1999,1,15,10,30,38
1999,1,15,11,30,489
1999,1,15,12,30,353
1999,1,15,13,30,303
1999,1,15,14,30,260
1999,1,15,15,30,55
1999,1,15,16,30,30
1999,1,15,17,30,0
1999,1,15,18,30,0
1999,1,15,19,30,0
1999,1,15,20,30,0
1999,1,15,21,30,0
1999,1,15,22,30,0
1999,1,15,23,30,0
1999,1,16,0,30,0
1999,1,16,1,30,0
1999,1,16,2,30,0
1999,1,16,3,30,0
1999,1,16,4,30,0
1999,1,16,5,30,0
1999,1,16,6,30,0
1999,1,16,7,30,0
1999,1,16,8,30,97
1999,1,16,9,30,112
1999,1,16,10,30,336
1999,1,16,11,30,277
1999,1,16,12,30,272
1999,1,16,13,30,51
1999,1,16,14,30,16
1999,1,16,15,30,10
1999,1,16,16,30,22
1999,1,16,17,30,0
1999,1,16,18,30,0
1999,1,16,19,30,0
1999,1,16,20,30,0
1999,1,16,21,30,0
